,n,eps,D,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
177,500,0.3,500,152.1,0.30419999999999997,329.691,252.07,129.18,225.01,6.0
178,500,0.3,750,235.46,0.47092000000000006,397.0439999999999,303.88,206.1,166.76,6.0
179,500,0.3,1000,294.72,0.58944,441.751,338.27,264.02,131.03,6.0
180,500,0.26666666666666666,50,0.37,0.00074,59.95000000000001,45.75,0.22,452.2,5.35
181,500,0.26666666666666666,250,47.09,0.09417999999999999,215.39533333333333,168.47,37.46,321.9,6.0
182,500,0.26666666666666666,500,156.42,0.31284,324.89866666666666,254.92,132.61,221.27,6.0
183,500,0.26666666666666666,750,236.28,0.4725599999999999,386.11666666666673,303.25,206.75,167.22,6.0
184,500,0.26666666666666666,1000,295.0,0.5900000000000001,430.6653333333333,338.42,264.2,130.78,6.0
185,500,0.23333333333333334,50,0.0,0.0,58.153666666666666,45.53,0.0,452.47,5.57
186,500,0.23333333333333334,250,24.59,0.04918,207.39933333333337,166.54,19.37,328.18,6.98
187,500,0.23333333333333334,500,116.73,0.23346000000000003,314.1566666666667,253.1,100.85,231.02,7.0
188,500,0.23333333333333334,750,202.4,0.4048,377.61166666666674,304.55,179.5,172.55,7.0
189,500,0.23333333333333334,1000,264.72,0.52944,418.5336666666667,337.73,239.38,136.93,6.99
190,500,0.2,50,0.08,0.00016,56.768,45.64,0.05,452.35,5.53
191,500,0.2,250,26.3,0.0526,202.74799999999996,167.29,20.78,327.19,6.99
192,500,0.2,500,117.55,0.2351,305.88800000000003,253.24,101.27,230.48,7.0
193,500,0.2,750,202.98,0.40596000000000004,368.156,305.13,180.32,172.21,7.0
194,500,0.2,1000,264.16,0.5283200000000001,407.46799999999996,337.89,239.19,137.14,6.99
195,500,0.16666666666666666,50,0.0,0.0,55.27,45.66,0.0,452.34,5.37
196,500,0.16666666666666666,250,15.87,0.03174,197.66166666666672,167.71,12.47,328.55,7.84
197,500,0.16666666666666666,500,91.43,0.18286000000000002,296.595,252.51,79.72,235.78,8.0
198,500,0.16666666666666666,750,171.67,0.34334000000000003,356.24666666666667,303.64,153.91,178.6,7.98
199,500,0.16666666666666666,1000,240.73,0.48146000000000017,397.2666666666666,338.8,219.69,140.16,7.97
200,500,0.13333333333333333,50,0.0,0.0,53.63466666666666,45.56,0.0,452.44,5.62
201,500,0.13333333333333333,250,4.14,0.00828,191.22133333333332,166.96,3.19,330.69,8.98
202,500,0.13333333333333333,500,52.67,0.10533999999999999,289.03933333333333,253.27,46.15,240.19,9.9
203,500,0.13333333333333333,750,126.51,0.25302,347.73466666666667,305.06,115.17,183.6,9.92
204,500,0.13333333333333333,1000,193.08,0.38616,384.0693333333334,337.12,178.63,148.43,9.93
205,500,0.1,50,0.0,0.0,52.776,46.16,0.0,451.84,5.44
206,500,0.1,250,1.27,0.00254,186.05199999999996,167.32,1.0,330.59,9.62
207,500,0.1,500,32.98,0.06596,281.92800000000005,254.48,28.77,241.17,11.43
208,500,0.1,750,90.86,0.18171999999999996,335.047,302.77,83.0,189.37,11.73
209,500,0.1,1000,161.91,0.32382,374.35,338.5,150.96,150.55,11.74
210,500,0.06666666666666667,50,0.0,0.0,50.42666666666666,45.4,0.0,452.6,5.47
211,500,0.06666666666666667,250,0.0,0.0,179.49333333333337,166.4,0.0,331.6,9.88
